FRQ, BETA, SPEED, GROUP, I, J, Added Mass, Radiation Damping 
-1.000000e+00, 180.000000, 0.000000, 0, 1, 1, 3.307117e-04, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 1, 2, -5.713300e-08, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 1, 3, -3.573217e-04, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 1, 4, -9.205883e-10, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 1, 5, 8.777287e-05, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 1, 6, 1.537837e-09, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 2, 1, -3.793179e-09, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 2, 2, 2.157663e-03, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 2, 3, -5.787530e-09, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 2, 4, 1.963558e-04, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 2, 5, -5.542195e-08, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 2, 6, 2.094993e-04, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 3, 1, -3.345297e-04, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 3, 2, -9.962666e-08, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 3, 3, 1.156575e-02, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 3, 4, 1.338699e-08, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 3, 5, -2.578049e-04, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 3, 6, 4.890507e-08, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 4, 1, -3.928492e-09, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 4, 2, 1.952018e-04, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 4, 3, 1.750689e-08, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 4, 4, 2.534141e-05, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 4, 5, -4.178148e-09, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 4, 6, 3.032168e-05, 0.000000e+00 
-1.000000e+00, 180.000000, 0.000000, 0, 5, 1, 9.202354e-05, 0.000000e+00 
