FRQ, BETA, SPEED, GROUP, I, J, Added Mass, Radiation Damping 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 1, 7.507383e+02, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 2, -3.705040e+01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 3, 1.189621e+03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 4, -1.333203e+02, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 5, 2.822753e+05, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 6, 3.838277e+03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 1, -1.031259e-01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 2, 1.859328e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 3, -8.807684e+00, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 4, -2.963690e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 5, -1.073003e+03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 6, 6.558679e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 1, 1.158208e+03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 2, -1.284986e+02, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 3, 7.237677e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 4, -4.426734e+02, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 5, 7.872011e+05, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 6, 1.344229e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 1, 1.648790e+01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 2, -3.044216e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 3, 5.417111e+01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 4, 1.136036e+06, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 5, 4.701691e+03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 6, 2.150204e+06, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 1, 2.798671e+05, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 2, -1.202272e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 3, 7.886265e+05, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 4, -4.132043e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 5, 1.568431e+08, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 6, 1.248629e+06, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 1, -4.193496e+01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 2, 6.559484e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 3, 9.502662e+02, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 4, 2.125000e+06, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 5, 9.586055e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 6, 7.283684e+07, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 1, 1, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 1, 2, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 1, 3, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 1, 4, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 1, 5, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 1, 6, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 2, 1, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 2, 2, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 2, 3, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 2, 4, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 2, 5, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 2, 6, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 3, 1, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 3, 2, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 3, 3, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 3, 4, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 3, 5, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 3, 6, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 4, 1, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 4, 2, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 4, 3, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 4, 4, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 4, 5, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 4, 6, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 5, 1, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 5, 2, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 5, 3, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 5, 4, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 5, 5, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 5, 6, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 6, 1, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 6, 2, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 6, 3, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 6, 4, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 6, 5, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 45.000000, 0.000000, 0, 6, 6, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 90.000000, 0.000000, 0, 1, 1, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 90.000000, 0.000000, 0, 1, 2, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 90.000000, 0.000000, 0, 1, 3, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 90.000000, 0.000000, 0, 1, 4, 0.000000e+00, 0.000000e+00 
-1.000000e+00, 90.000000, 0.000000, 0, 1, 5, 0.000000e+00, 0.000000e+00 
