FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
-3.000000e-02, 0.000000, 0.000000, 0, 1, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 2, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 3, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 4, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 5, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 6, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 1, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 2, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 3, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 4, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 5, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 6, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
3.000000e-02, 0.000000, 0.000000, 0, 1, 3.348840e+01, 121.513461, -1.750435e+01, 2.854945e+01 
3.000000e-02, 0.000000, 0.000000, 0, 2, 2.500908e-04, -113.388902, -9.927858e-05, -2.295412e-04 
3.000000e-02, 0.000000, 0.000000, 0, 3, 1.667615e+04, -0.001741, 1.667615e+04, -5.065993e-01 
3.000000e-02, 0.000000, 0.000000, 0, 4, 7.572066e-01, 0.266962, 7.571983e-01, 3.528090e-03 
3.000000e-02, 0.000000, 0.000000, 0, 5, 1.200325e+04, 116.154133, -5.290882e+03, 1.077426e+04 
3.000000e-02, 0.000000, 0.000000, 0, 6, 2.741490e+00, 1.261351, 2.740825e+00, 6.034829e-02 
6.000000e-02, 0.000000, 0.000000, 0, 1, 1.151004e+02, 98.483228, -1.697960e+01, 1.138411e+02 
6.000000e-02, 0.000000, 0.000000, 0, 2, 9.925779e-04, -111.474966, -3.633775e-04, -9.236708e-04 
6.000000e-02, 0.000000, 0.000000, 0, 3, 1.658334e+04, -0.005788, 1.658334e+04, -1.675158e+00 
6.000000e-02, 0.000000, 0.000000, 0, 4, 7.577537e-01, 1.073388, 7.576207e-01, 1.419505e-02 
