FRQ, BETA, SPEED, GROUP, Mode, Mod(Xi), Pha(Xi), Re(Xi), Im(Xi) 
-3.000000e-02, 0.000000, 0.000000, 0, 1, 0.000000e+00, -0.000000, 0.000000e+00, -0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 2, 0.000000e+00, -0.000000, 0.000000e+00, -0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 3, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 4, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 5, 0.000000e+00, -0.000000, 0.000000e+00, -0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 6, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 1, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 2, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 3, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 4, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 5, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 6, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
3.000000e-02, 0.000000, 0.000000, 0, 1, 1.155359e+00, -59.938620, 5.787510e-01, -9.999508e-01 
3.000000e-02, 0.000000, 0.000000, 0, 2, 9.675779e-05, 3.915503, 9.653194e-05, 6.607129e-06 
3.000000e-02, 0.000000, 0.000000, 0, 3, 1.000012e+00, -0.000004, 1.000012e+00, -7.031642e-08 
3.000000e-02, 0.000000, 0.000000, 0, 4, 6.221138e-07, 0.308398, 6.221048e-07, 3.348550e-09 
3.000000e-02, 0.000000, 0.000000, 0, 5, 9.183503e-05, 87.644748, 3.773991e-06, 9.175745e-05 
3.000000e-02, 0.000000, 0.000000, 0, 6, 9.007005e-06, -178.705686, -9.004707e-06, -2.034513e-07 
6.000000e-02, 0.000000, 0.000000, 0, 1, 1.005825e+00, -82.026182, 1.395286e-01, -9.961002e-01 
6.000000e-02, 0.000000, 0.000000, 0, 2, 2.566645e-05, 14.949912, 2.479768e-05, 6.621289e-06 
6.000000e-02, 0.000000, 0.000000, 0, 3, 9.996146e-01, -0.000063, 9.996146e-01, -1.103122e-06 
