FRQ, BETA, SPEED, GROUP, I, J, Added Mass, Radiation Damping 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 1, 7.399835e+03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 2, -2.698341e-01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 3, 6.926659e+03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 4, 1.430907e+00, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 5, 2.229131e+06, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 1, 6, -8.545540e+00, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 1, -5.511883e-03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 2, 9.550930e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 3, 5.508813e-01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 4, 4.966676e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 5, 1.253921e+00, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 2, 6, 4.344677e+05, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 1, 6.748508e+03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 2, -2.890158e-01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 3, 4.088779e+05, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 4, 9.931493e+00, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 5, -3.542522e+06, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 3, 6, 7.978454e+01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 1, -1.015971e+00, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 2, 4.498522e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 3, -6.724288e-01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 4, 2.529469e+07, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 5, 3.009071e+02, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 4, 6, 1.217233e+07, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 1, 2.231776e+06, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 2, -6.711303e+01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 3, -3.542170e+06, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 4, 1.390981e+03, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 5, 1.981438e+09, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 5, 6, 1.272034e+04, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 1, -4.231037e+01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 2, 4.321044e+05, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 3, -1.605278e+01, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 4, 1.230084e+07, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 5, 2.457562e+02, 0.000000e+00 
-1.000000e+00, 0.000000, 0.000000, 0, 6, 6, 6.498272e+08, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 1, 1, 1.836668e+04, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 1, 2, 6.583485e-01, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 1, 3, 1.159877e+04, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 1, 4, -6.377696e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 1, 5, 4.767398e+06, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 1, 6, -3.928584e+01, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 2, 1, 6.634297e-01, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 2, 2, 2.522260e+05, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 2, 3, 1.633981e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 2, 4, 1.869655e+05, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 2, 5, 1.841793e+02, 0.000000e+00 
