FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
-3.000000e-02, 0.000000, 0.000000, 0, 1, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 2, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 3, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 4, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 5, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
-3.000000e-02, 0.000000, 0.000000, 0, 6, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 1, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 2, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 3, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 4, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 5, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 6, 0.000000e+00, 0.000000, 0.000000e+00, 0.000000e+00 
3.000000e-02, 0.000000, 0.000000, 0, 1, 1.956502e+00, 122.727252, -1.057764e+00, 1.645915e+00 
3.000000e-02, 0.000000, 0.000000, 0, 2, 1.613567e-04, 158.406299, -1.500322e-04, 5.938285e-05 
3.000000e-02, 0.000000, 0.000000, 0, 3, 7.189119e+01, 178.211662, -7.185617e+01, 2.243531e+00 
3.000000e-02, 0.000000, 0.000000, 0, 4, 1.026276e-03, -164.895998, -9.908229e-04, -2.674188e-04 
3.000000e-02, 0.000000, 0.000000, 0, 5, 4.348557e+02, 71.891359, 1.351617e+02, 4.133168e+02 
3.000000e-02, 0.000000, 0.000000, 0, 6, 1.087738e-02, -8.504017, 1.075779e-02, -1.608534e-03 
6.000000e-02, 0.000000, 0.000000, 0, 1, 7.379085e+00, 124.283418, -4.156542e+00, 6.097053e+00 
6.000000e-02, 0.000000, 0.000000, 0, 2, 6.386591e-04, 159.997207, -6.001326e-04, 2.184635e-04 
6.000000e-02, 0.000000, 0.000000, 0, 3, 2.955387e+02, 175.630599, -2.946797e+02, 2.251607e+01 
6.000000e-02, 0.000000, 0.000000, 0, 4, 4.403516e-03, -175.491176, -4.389888e-03, -3.461720e-04 
