             we,             Fn,       R0 (deg),             OG,           Beff,             Bf,             Be,             Bl,            Bbk,             Bw,             B1,             B2
  3.240900E-001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  7.313348E-005,  4.487203E-005,  2.825990E-005,  0.000000E+000,  0.000000E+000,  1.549399E-009,  4.487203E-005,  1.009282E-003
  6.481800E-001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.346158E-004,  7.804241E-005,  5.651980E-005,  0.000000E+000,  0.000000E+000,  5.360922E-008,  7.804241E-005,  1.009282E-003
  9.722700E-001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.937043E-004,  1.084727E-004,  8.477971E-005,  0.000000E+000,  0.000000E+000,  4.518048E-007,  1.084727E-004,  1.009282E-003
  1.296360E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.524793E-004,  1.373201E-004,  1.130396E-004,  0.000000E+000,  0.000000E+000,  2.119578E-006,  1.373201E-004,  1.009282E-003
  1.620450E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  3.135015E-004,  1.650747E-004,  1.412995E-004,  0.000000E+000,  0.000000E+000,  7.127237E-006,  1.650747E-004,  1.009282E-003
  1.944540E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  3.805288E-004,  1.920047E-004,  1.695594E-004,  0.000000E+000,  0.000000E+000,  1.896465E-005,  1.920047E-004,  1.009282E-003
  2.268630E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  4.588294E-004,  2.182776E-004,  1.978193E-004,  0.000000E+000,  0.000000E+000,  4.273243E-005,  2.182776E-004,  1.009282E-003
  2.592720E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  5.536303E-004,  2.440075E-004,  2.260792E-004,  0.000000E+000,  0.000000E+000,  8.354361E-005,  2.440075E-004,  1.009282E-003
  2.916810E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  6.700339E-004,  2.692765E-004,  2.543391E-004,  0.000000E+000,  0.000000E+000,  1.464182E-004,  2.692765E-004,  1.009282E-003
  3.240900E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  8.128740E-004,  2.941466E-004,  2.825990E-004,  0.000000E+000,  0.000000E+000,  2.361285E-004,  2.941466E-004,  1.009282E-003
  3.564990E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.001071E-003,  3.186657E-004,  3.108589E-004,  0.000000E+000,  0.000000E+000,  3.715459E-004,  3.186657E-004,  1.009282E-003
  3.889080E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.291835E-003,  3.428722E-004,  3.391188E-004,  0.000000E+000,  0.000000E+000,  6.098436E-004,  3.428722E-004,  1.009282E-003
  4.213170E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.813798E-003,  3.667975E-004,  3.673787E-004,  0.000000E+000,  0.000000E+000,  1.079621E-003,  3.667975E-004,  1.009282E-003
  4.537260E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.751364E-003,  3.904674E-004,  3.956386E-004,  0.000000E+000,  0.000000E+000,  1.965258E-003,  3.904674E-004,  1.009282E-003
  4.861350E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  4.240283E-003,  4.139038E-004,  4.238985E-004,  0.000000E+000,  0.000000E+000,  3.402481E-003,  4.139038E-004,  1.009282E-003
  5.185440E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  6.244008E-003,  4.371253E-004,  4.521584E-004,  0.000000E+000,  0.000000E+000,  5.354724E-003,  4.371253E-004,  1.009282E-003
  5.509530E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  8.631784E-003,  4.601480E-004,  4.804183E-004,  0.000000E+000,  0.000000E+000,  7.691218E-003,  4.601480E-004,  1.009282E-003
  5.833620E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.114333E-002,  4.829858E-004,  5.086782E-004,  0.000000E+000,  0.000000E+000,  1.015166E-002,  4.829858E-004,  1.009282E-003
  6.157710E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.352455E-002,  5.056510E-004,  5.369381E-004,  0.000000E+000,  0.000000E+000,  1.248196E-002,  5.056510E-004,  1.009282E-003
  6.481800E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.571968E-002,  5.281543E-004,  5.651980E-004,  0.000000E+000,  0.000000E+000,  1.462633E-002,  5.281543E-004,  1.009282E-003
  6.805890E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.754281E-002,  5.505055E-004,  5.934580E-004,  0.000000E+000,  0.000000E+000,  1.639884E-002,  5.505055E-004,  1.009282E-003
  7.129980E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.871504E-002,  5.727130E-004,  6.217179E-004,  0.000000E+000,  0.000000E+000,  1.752061E-002,  5.727130E-004,  1.009282E-003
  7.454070E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.963303E-002,  5.947847E-004,  6.499778E-004,  0.000000E+000,  0.000000E+000,  1.838827E-002,  5.947847E-004,  1.009282E-003
  7.778160E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.078021E-002,  6.167276E-004,  6.782377E-004,  0.000000E+000,  0.000000E+000,  1.948525E-002,  6.167276E-004,  1.009282E-003
  8.102250E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.218447E-002,  6.385481E-004,  7.064976E-004,  0.000000E+000,  0.000000E+000,  2.083942E-002,  6.385481E-004,  1.009282E-003
  8.426340E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.339028E-002,  6.602519E-004,  7.347575E-004,  0.000000E+000,  0.000000E+000,  2.199527E-002,  6.602519E-004,  1.009282E-003
  8.750430E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.370043E-002,  6.818443E-004,  7.630174E-004,  0.000000E+000,  0.000000E+000,  2.225557E-002,  6.818443E-004,  1.009282E-003
  9.074520E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.327296E-002,  7.033304E-004,  7.912773E-004,  0.000000E+000,  0.000000E+000,  2.177836E-002,  7.033304E-004,  1.009282E-003
  9.398610E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.311189E-002,  7.247144E-004,  8.195372E-004,  0.000000E+000,  0.000000E+000,  2.156764E-002,  7.247144E-004,  1.009282E-003
  9.722700E+000,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.306847E-002,  7.460006E-004,  8.477971E-004,  0.000000E+000,  0.000000E+000,  2.147467E-002,  7.460006E-004,  1.009282E-003
