FRQ, I, J, Added Mass, Radiation Damping 
-1.00E+00,1,1,7.40E+03,0.00E+00
-1.00E+00,1,2,-2.70E-01,0.00E+00
-1.00E+00,1,3,6.93E+03,0.00E+00
-1.00E+00,1,4,1.43E+00,0.00E+00
-1.00E+00,1,5,2.23E+06,0.00E+00
-1.00E+00,1,6,-8.55E+00,0.00E+00
-1.00E+00,2,1,-5.51E-03,0.00E+00
-1.00E+00,2,2,9.55E+04,0.00E+00
-1.00E+00,2,3,5.51E-01,0.00E+00
-1.00E+00,2,4,4.97E+04,0.00E+00
-1.00E+00,2,5,1.25E+00,0.00E+00
-1.00E+00,2,6,4.34E+05,0.00E+00
-1.00E+00,3,1,6.75E+03,0.00E+00
-1.00E+00,3,2,-2.89E-01,0.00E+00
-1.00E+00,3,3,4.09E+05,0.00E+00
-1.00E+00,3,4,9.93E+00,0.00E+00
-1.00E+00,3,5,-3.54E+06,0.00E+00
-1.00E+00,3,6,7.98E+01,0.00E+00
-1.00E+00,4,1,-1.02E+00,0.00E+00
-1.00E+00,4,2,4.50E+04,0.00E+00
-1.00E+00,4,3,-6.72E-01,0.00E+00
-1.00E+00,4,4,2.53E+07,0.00E+00
-1.00E+00,4,5,3.01E+02,0.00E+00
-1.00E+00,4,6,1.22E+07,0.00E+00
-1.00E+00,5,1,2.23E+06,0.00E+00
-1.00E+00,5,2,-6.71E+01,0.00E+00
-1.00E+00,5,3,-3.54E+06,0.00E+00
-1.00E+00,5,4,1.39E+03,0.00E+00
-1.00E+00,5,5,1.98E+09,0.00E+00
-1.00E+00,5,6,1.27E+04,0.00E+00
-1.00E+00,6,1,-4.23E+01,0.00E+00
-1.00E+00,6,2,4.32E+05,0.00E+00
-1.00E+00,6,3,-1.61E+01,0.00E+00
-1.00E+00,6,4,1.23E+07,0.00E+00
-1.00E+00,6,5,2.46E+02,0.00E+00
-1.00E+00,6,6,6.50E+08,0.00E+00
0.00E+00,1,1,1.84E+04,0.00E+00
0.00E+00,1,2,6.58E-01,0.00E+00
0.00E+00,1,3,1.16E+04,0.00E+00
0.00E+00,1,4,-6.38E+00,0.00E+00
0.00E+00,1,5,4.77E+06,0.00E+00
0.00E+00,1,6,-3.93E+01,0.00E+00
0.00E+00,2,1,6.63E-01,0.00E+00
0.00E+00,2,2,2.52E+05,0.00E+00
0.00E+00,2,3,1.63E+00,0.00E+00
0.00E+00,2,4,1.87E+05,0.00E+00
0.00E+00,2,5,1.84E+02,0.00E+00
0.00E+00,2,6,2.51E+06,0.00E+00
0.00E+00,3,1,1.15E+04,0.00E+00
0.00E+00,3,2,7.37E-01,0.00E+00
0.00E+00,3,3,7.68E+05,0.00E+00
0.00E+00,3,4,5.51E+00,0.00E+00
0.00E+00,3,5,-1.45E+06,0.00E+00
0.00E+00,3,6,-3.33E+02,0.00E+00
0.00E+00,4,1,-3.59E+00,0.00E+00
0.00E+00,4,2,2.07E+05,0.00E+00
0.00E+00,4,3,1.00E+01,0.00E+00
0.00E+00,4,4,2.69E+07,0.00E+00
0.00E+00,4,5,-8.35E+02,0.00E+00
0.00E+00,4,6,3.24E+07,0.00E+00
0.00E+00,5,1,4.76E+06,0.00E+00
0.00E+00,5,2,1.85E+02,0.00E+00
0.00E+00,5,3,-1.50E+06,0.00E+00
0.00E+00,5,4,-1.61E+03,0.00E+00
0.00E+00,5,5,2.87E+09,0.00E+00
0.00E+00,5,6,-2.42E+04,0.00E+00
0.00E+00,6,1,-2.17E+01,0.00E+00
0.00E+00,6,2,2.51E+06,0.00E+00
0.00E+00,6,3,-1.19E+02,0.00E+00
0.00E+00,6,4,3.25E+07,0.00E+00
0.00E+00,6,5,-1.87E+04,0.00E+00
0.00E+00,6,6,1.39E+09,0.00E+00
3.00E-02,1,1,1.84E+04,3.71E-02
3.00E-02,1,2,6.61E-01,-3.57E-05
3.00E-02,1,3,1.16E+04,-1.44E+01
3.00E-02,1,4,-6.40E+00,5.88E-05
3.00E-02,1,5,4.78E+06,1.04E+01
3.00E-02,1,6,-3.94E+01,1.26E-02
3.00E-02,2,1,6.65E-01,3.63E-07
3.00E-02,2,2,2.53E+05,6.55E-02
3.00E-02,2,3,1.63E+00,-1.93E-04
3.00E-02,2,4,1.87E+05,-3.37E-01
